playId,actualPP,beatmapId,accPercent,score,combo,nmiss,hitJudgement,approachRate,circleSize,drainRate,rating,EZ,HT,HD,NC,DT,HR,FL
1720541511,70.5239,22423,100.00,2669868,450,0,7,7,5,5,3.53,0,0,0,0,0,0,0
1759225512,57.6853,258467,100.00,2063452,349,0,6,8,4,6,3.55,0,0,0,0,0,0,0
1717638933,53.9028,266885,98.48,8235244,712,0,7,8,4,7,3.43,0,0,0,0,0,0,0
