beatmapId,username,score,playId,ojsamaPP,rosuPP,otpcPP,actualPP
22423,peppy,2669868,1720541511,68.617,72.355,74.910,70.5239
258467,peppy,2063452,1759225512,53.206,57.259,60.730,57.6853
266885,peppy,8235244,1717638933,55.593,53.215,64.880,53.9028
