beatmapId,username,score,playId,ojsamaPP,rosuPP,otpcPP,actualPP
1583228,mrekk,66221788,4663319307,1367.377,1311.078,1583228.0,1328.44
3762927,mrekk,91789093,4420459724,1354.227,1208.304,3762927.0,1291.3
